source_role,url,prediction_keys,source_locators,preservation_level,archived_copy_url,archive_status,preserved_capsule_count,preserved_text_capsule_sha256
primary_outcome_evidence,https://forums.wyze.com/t/updated-01-06-20-data-leak-12-26-2019/79046,23-CCC-2018-085-03,,locator_and_text_capsule,,pending_external_archive,1,E098DC58FA4115F31C33DCECB805AE82B2148DE3A1A1D553801C2DBFE5AD5DCB
primary_outcome_evidence,https://github.com/easylist/easylist,59-CCC-2016-060-05,,locator_and_text_capsule,,pending_external_archive,1,0543A4E1D14FE4F78369BBD79ADEB851773A2F1F425C2BE17983D258DB60F41F
primary_outcome_evidence,https://github.com/reek/anti-adblock-killer,59-CCC-2016-060-06,,locator_and_text_capsule,,pending_external_archive,1,AC403F76530D28A41B297A4A5545CEF6E3DEA535CAAEE0C850199A062BAF5597
primary_outcome_evidence,https://global.toyota/en/detail/4228471/,20-CCC-2012-033-01,,locator_and_text_capsule,,pending_external_archive,1,3AF59DB5A3C54122F645DFCCA5388C3992A3C515737FEA98CA7A4A825A556AF1
primary_outcome_evidence,https://interoperable-europe.ec.europa.eu/collection/egovernment/document/eu-recommendation-privacy-and-data-protection-applications-supported-radio-frequency-identification,25-CCC-2007-013-01,,locator_and_text_capsule,,pending_external_archive,1,755E9BED822DE3EE60D0F3F124F29C90B35E4D4CC3724E9E7EBB508162C0E1A1
primary_outcome_evidence,https://learn.microsoft.com/en-us/defender-endpoint/device-control-overview,31-VB-2016-P01-10,,locator_and_text_capsule,,pending_external_archive,1,D1D0497A29069DEA5DF784F29A62451CB57626A96726CF3CE77DD31C9DD23940
primary_outcome_evidence,https://learn.microsoft.com/en-us/lifecycle/announcements/internet-explorer-11-end-of-support,112-CCC-2012-034-01,,locator_and_text_capsule,,pending_external_archive,1,77C19EE9D47319D90EC4ADEF8B3BD445B7BAA370881BC0C2C5C28DDFDC2598FE
primary_outcome_evidence,https://learn.microsoft.com/en-us/microsoft-365/security/defender-endpoint/microsoft-defender-endpoint,31-VB-2016-P01-11,,locator_and_text_capsule,,pending_external_archive,1,35A631032F6F2330DA1C9A905BFF58353098A864C6EC0B4A5136F37F10FC148F
primary_outcome_evidence,https://learn.microsoft.com/en-us/windows/deployment/update/waas-overview,123-CCC-2014-048-01,,locator_and_text_capsule,,pending_external_archive,1,89BA8D5576F07E387F115DBB9DFB4FFA86E208174722B569D84FFFC44E345BE1
primary_outcome_evidence,https://media.ccc.de/v/26c3-3654-en-gsm_srsly,103-CCC-2008-019-02,,locator_and_text_capsule,,pending_external_archive,1,5135505EED8CC89DA64AFB143648E4667C981AA4CE7C0A15EE0D41235FE84A59
primary_outcome_evidence,https://merics.org/en/report/chinas-social-credit-system-2021-fragmentation-towards-integration,136-CCC-2017-062-02;136-CCC-2017-062-03;136-CCC-2017-062-04;49-CCC-2018-074-01,,locator_and_text_capsule,,pending_external_archive,4,A82407D6908A760A8BC6AE9D3540F9AF3DFD7781A7598BD4524F478CBB309BA7
